$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;34,41;;;;;;;;;;;0,3;;;;;0,0;
$D;34,52;;;;;;;;;;;;1,4;;;;0,0;
$D;34,63;5,0;;;;;;;;;;;;;;;0,0;
$D;34,72;;100,0;;;;;;;;;;;;;;0,0;
$D;34,83;;;12,4;;;;;;;;;;;;;0,0;
$D;34,89;;;;99,0;;;;;;;;;;;;0,0;
$D;35,00;;;;;0,1;;;;;;;;;;;0,0;
$D;35,12;;;;;;0,0;;;;;;;;;;0,0;
$D;35,20;;;;;;;0,0;;;;;;;;;0,0;
$D;35,34;;;;;;;;0,0;;;;;;;;0,1;
$D;35,42;;;;;;;;;2,0;;;;;;;0,1;
$D;35,54;;;;;;;;;;0,0;;;;;;0,1;
$D;35,63;;;;;;;;;;;0,1;;;;;0,1;
$D;35,74;;;;;;;;;;;;1,4;;;;0,1;
$D;35,85;5,0;;;;;;;;;;;;;;;0,1;
$D;35,94;;100,0;;;;;;;;;;;;;;0,1;
$D;36,05;;;12,4;;;;;;;;;;;;;0,1;
$D;36,16;;;;99,0;;;;;;;;;;;;0,1;
$D;36,26;;;;;0,1;;;;;;;;;;;0,1;
$D;36,38;;;;;;0,0;;;;;;;;;;0,1;
$D;36,49;;;;;;;0,0;;;;;;;;;0,2;
$D;36,53;;;;;;;;0,0;;;;;;;;0,2;
$D;36,64;;;;;;;;;2,0;;;;;;;0,2;
$D;36,75;;;;;;;;;;0,0;;;;;;0,2;
$D;36,85;;;;;;;;;;;1,2;;;;;0,2;
$D;36,98;;;;;;;;;;;;1,4;;;;0,2;
$D;37,06;5,0;;;;;;;;;;;;;;;0,2;
$D;37,17;5,0;;;;;;;;;;;;;;;0,3;
$D;37,28;;;12,4;;;;;;;;;;;;;0,3;
$D;37,40;;;;99,0;;;;;;;;;;;;0,2;
$D;37,49;;;;;0,1;;;;;;;;;;;0,3;
$D;37,61;;;;;;0,0;;;;;;;;;;0,3;
$D;37,70;;;;;;;0,0;;;;;;;;;0,2;
$D;37,81;;;;;;;;0,0;;;;;;;;0,2;
$D;37,92;;;;;;;;;2,0;;;;;;;0,1;
$D;38,02;;;;;;;;;;0,0;;;;;;0,1;
$D;38,13;;;;;;;;;;;0,6;;;;;0,0;
$D;38,19;;;;;;;;;;;;1,4;;;;0,0;
$D;38,30;5,0;;;;;;;;;;;;;;;0,0;
$D;38,41;;100,0;;;;;;;;;;;;;;0,0;
$D;38,50;;;12,4;;;;;;;;;;;;;0,0;
$D;38,61;;;;99,0;;;;;;;;;;;;0,0;
$D;38,73;;;;;0,1;;;;;;;;;;;0,0;
$D;38,81;;;;;;0,0;;;;;;;;;;0,0;
$D;38,92;;;;;;;0,0;;;;;;;;;0,0;
$D;39,05;;;;;;;;0,0;;;;;;;;0,1;
$D;39,14;;;;;;;;;2,0;;;;;;;0,1;
$D;39,24;;;;;;;;;;0,0;;;;;;0,1;
$D;39,36;;;;;;;;;;;0,7;;;;;0,2;
$D;39,47;;;;;;;;;;;;1,4;;;;0,2;
$D;39,55;5,0;;;;;;;;;;;;;;;0,2;
$D;39,66;;100,0;;;;;;;;;;;;;;0,2;
$D;39,77;;;12,4;;;;;;;;;;;;;0,2;
$D;39,83;;;;99,0;;;;;;;;;;;;0,2;
$D;39,96;;;;;0,1;;;;;;;;;;;0,3;
$D;40,04;;;;;;0,0;;;;;;;;;;0,3;
