# Funtana
000000000;4310520667;0;MUI-75;
000000000;4310520667;1;Voltage;V
000000000;4310520667;2;Current;A
000000000;4310520667;3;Capacity;mAh
000000000;4310520667;4;Run time;s
000218916;4310520667;2;1;1;267
000218916;4310520667;3;4;0;241
000218916;4310520667;4;5;0;24
000219142;4310520667;1;1;1;372
000219142;4310520667;2;1;1;398
000219142;4310520667;3;4;0;243
000219142;4310520667;4;5;0;24
000219336;4310520667;1;1;1;368
000219336;4310520667;2;1;1;450
000219336;4310520667;3;4;0;245
000219340;4310520667;4;5;0;24
000219556;4310520667;1;1;1;357
000219556;4310520667;2;1;1;621
000219556;4310520667;3;4;0;249
000219556;4310520667;4;5;0;24
000219756;4310520667;1;1;1;352
000219756;4310520667;2;1;1;692
000219756;4310520667;3;4;0;253
000219756;4310520667;4;5;0;24
000219983;4310520667;1;1;1;352
000219983;4310520667;2;1;1;682
000219983;4310520667;3;4;0;257
000219983;4310520667;4;5;0;25
000220176;4310520667;1;1;1;352
000220176;4310520667;2;1;1;684
000220176;4310520667;3;4;0;261
000220179;4310520667;4;5;0;25
000220216;4310520667;1;1;1;352
000220216;4310520667;2;1;1;684
000220216;4310520667;3;4;0;261
000220217;4310520667;4;5;0;25
000220396;4310520667;1;1;1;351
000220396;4310520667;2;1;1;683
000220396;4310520667;3;4;0;266
000220396;4310520667;4;5;0;25
000220823;4310520667;1;1;1;350
000220823;4310520667;2;1;1;687
000220823;4310520667;3;4;0;274
000220823;4310520667;4;5;0;25
000221301;4310520667;1;1;1;349
000221301;4310520667;2;1;1;695
000221301;4310520667;3;4;0;283
000221301;4310520667;4;5;0;26
000221476;4310520667;1;1;1;348
000221476;4310520667;2;1;1;699
000221476;4310520667;3;4;0;287
000221476;4310520667;4;5;0;26
000221696;4310520667;1;1;1;349
000221696;4310520667;2;1;1;688
000221696;4310520667;3;4;0;291
000221696;4310520667;4;5;0;26
000221893;4310520667;1;1;1;358
000221893;4310520667;2;1;1;504
000221893;4310520667;3;4;0;294
000221894;4310520667;4;5;0;27
000222133;4310520667;1;1;1;369
000222134;4310520667;2;1;1;336
000222134;4310520667;3;4;0;297
000222134;4310520667;4;5;0;27
000222316;4310520667;1;1;1;383
000222318;4310520667;2;1;1;150
000222318;4310520667;3;4;0;298
000222319;4310520667;4;5;0;27
000222557;4310520667;1;1;1;386
000222557;4310520667;2;1;1;133
000222557;4310520667;3;4;0;299
000222557;4310520667;4;5;0;27
000222756;4310520667;1;1;1;391
000222756;4310520667;2;1;1;86
000222756;4310520667;3;4;0;299
000222756;4310520667;4;5;0;27
000222973;4310520667;1;1;1;390
000222973;4310520667;2;1;1;103
000222973;4310520667;3;4;0;300
000222973;4310520667;4;5;0;28
000223176;4310520667;1;1;1;390
000223180;4310520667;2;1;1;101
000223180;4310520667;3;4;0;300
000223180;4310520667;4;5;0;28
000223376;4310520667;1;1;1;391
000223376;4310520667;2;1;1;102
000223376;4310520667;3;4;0;301
000223376;4310520667;4;5;0;28
000223596;4310520667;1;1;1;391
000223596;4310520667;2;1;1;101
000223596;4310520667;3;4;0;302
000223596;4310520667;4;5;0;28
000223813;4310520667;1;1;1;392
000223813;4310520667;2;1;1;93
000223814;4310520667;3;4;0;302
000223814;4310520667;4;5;0;28
000224016;4310520667;1;1;1;392
000224016;4310520667;2;1;1;93
000224018;4310520667;3;4;0;303
000224019;4310520667;4;5;0;29
000224256;4310520667;1;1;1;392
000224256;4310520667;2;1;1;94
000224256;4310520667;3;4;0;303
000224256;4310520667;4;5;0;29
000224456;4310520667;1;1;1;393
000224456;4310520667;2;1;1;90
000224456;4310520667;3;4;0;304
000224456;4310520667;4;5;0;29
000224677;4310520667;1;1;1;393
000224677;4310520667;2;1;1;88
000224677;4310520667;3;4;0;304
000224677;4310520667;4;5;0;29
000225096;4310520667;1;1;1;394
000225096;4310520667;2;1;1;83
000225096;4310520667;3;4;0;305
