# Ariane V10 1
000000000;4264123810;0;Rx;
000000000;4264123810;1;U Rx;V
000000000;4202000001;0;LinkVario;
000000000;4202000001;1;Hoehe;m
000000000;4202000001;2;Vario;m/s
000000000;4202000001;3;IntegVario;m/s
000000000;4202000001;4;Motorspann;V
000000000;4202000001;5;Motorstrom;A
000000000;4202000001;6;Kapazitaet;Ah
000000000;4202000001;7;Temperatur;°C
000000000;4202000001;8;PitotSpeed;m/s
000000000;4202000001;9;UB Vario;V
000000000;4202000001;10;Longitude;°
000000000;4202000001;11;Latitude;°
000000000;4202000001;12;GPS-Hoehe;m
000000000;4202000001;13;GPS-Kurs;°
000000000;4202000001;14;GPS-Speed;m/s
000000000;4202000001;15;Entfernung;m
000000000;4202000001;16;Modell-Pos;°
001071916;4202000001;2;1;2;4294967278
001071916;4202000001;3;1;2;1189
001071918;4202000001;4;1;1;158
001071918;4202000001;5;1;1;0
001071976;4264123810;1;1;2;492
001072036;4202000001;2;1;2;4294967284
001072036;4202000001;6;1;2;16
001072036;4202000001;7;1;1;157
001072036;4202000001;8;1;0;0
001072036;4202000001;9;1;2;503
001072316;4202000001;2;1;2;0
001072316;4202000001;12;1;0;687
001072316;4202000001;13;1;0;76
001072316;4202000001;15;1;0;225
001072316;4202000001;16;1;0;39
001072436;4202000001;1;1;1;2408
001072436;4202000001;2;1;2;4
001072436;4202000001;3;1;2;1189
001072438;4202000001;4;1;1;158
001072438;4202000001;5;1;1;0
001072496;4264123810;1;1;2;492
001072636;4202000001;2;1;2;8
001072636;4202000001;6;1;2;16
001072636;4202000001;7;1;1;157
001072636;4202000001;8;1;0;0
001072636;4202000001;9;1;2;502
001073016;4264123810;1;1;2;492
001073176;4202000001;1;1;1;2411
001073176;4202000001;2;1;2;22
001073176;4202000001;3;1;2;1191
001073176;4202000001;4;1;1;158
001073176;4202000001;5;1;1;0
001073197;4202000001;1;1;1;2411
001073197;4202000001;2;1;2;22
001073197;4202000001;3;1;2;1191
001073199;4202000001;4;1;1;158
001073199;4202000001;5;1;1;0
001073416;4202000001;2;1;2;25
001073416;4202000001;10;9;1;616615
001073416;4202000001;11;9;0;3123168
001073416;4202000001;14;1;0;12
001073536;4264123810;1;1;2;492
001073656;4202000001;2;1;2;24
001073656;4202000001;12;1;0;687
001073656;4202000001;13;1;0;95
001073656;4202000001;15;1;0;242
001073656;4202000001;16;1;0;43
001073796;4202000001;1;1;1;2415
001073796;4202000001;2;1;2;23
001073796;4202000001;3;1;2;1191
001073796;4202000001;4;1;1;159
001073798;4202000001;5;1;1;0
001073916;4202000001;2;1;2;22
001073916;4202000001;6;1;2;16
001073916;4202000001;7;1;1;158
001073916;4202000001;8;1;0;0
001073916;4202000001;9;1;2;503
001074056;4264123810;1;1;2;492
001074056;4202000001;2;1;2;22
001074056;4202000001;10;9;1;616624
001074056;4202000001;11;9;0;3123167
001074056;4202000001;14;1;0;11
001074176;4202000001;2;1;2;20
001074176;4202000001;12;1;0;687
001074176;4202000001;13;1;0;95
001074176;4202000001;15;1;0;242
001074176;4202000001;16;1;0;43
001074316;4202000001;1;1;1;2416
001074316;4202000001;2;1;2;17
001074316;4202000001;3;1;2;1163
001074316;4202000001;4;1;1;159
001074316;4202000001;5;1;1;0
001074456;4202000001;2;1;2;18
001074456;4202000001;6;1;2;16
001074456;4202000001;7;1;1;159
001074456;4202000001;8;1;0;0
001074456;4202000001;9;1;2;503
001074576;4264123810;1;1;2;492
001074636;4202000001;2;1;2;17
001074636;4202000001;10;9;1;616634
001074636;4202000001;11;9;0;3123166
001074636;4202000001;14;1;0;11
001074776;4202000001;2;1;2;18
001074776;4202000001;12;1;0;687
001074778;4202000001;13;1;0;103
001074778;4202000001;15;1;0;248
001074778;4202000001;16;1;0;46
001075036;4202000001;2;1;2;20
001075036;4202000001;6;1;2;16
001075036;4202000001;7;1;1;160
001075036;4202000001;8;1;0;0
001075036;4202000001;9;1;2;504
001075096;4264123810;1;1;2;492
001075316;4202000001;2;1;2;22
001075316;4202000001;10;9;1;616634
001075316;4202000001;11;9;0;3123166
001075316;4202000001;14;1;0;11
001075418;4202000001;2;1;2;23
001075418;4202000001;12;1;0;687
001075418;4202000001;13;1;0;103
001075421;4202000001;15;1;0;248
001075421;4202000001;16;1;0;46
001075616;4264123810;1;1;2;492
001075656;4202000001;1;1;1;2416
001075656;4202000001;2;1;2;23
001075656;4202000001;3;1;2;1136
001075656;4202000001;4;1;1;159
001075656;4202000001;5;1;1;0
001075776;4202000001;2;1;2;24
001075776;4202000001;6;1;2;16
001075776;4202000001;7;1;1;155
001075776;4202000001;8;1;0;0
001075776;4202000001;9;1;2;504
001075916;4202000001;2;1;2;29
001075916;4202000001;10;9;1;616642
001075916;4202000001;11;9;0;3123164
