;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;7;8;8;8;8;8;8;16;17;18;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
61980;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    1;  +0,2;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
63011;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0;   1;   10;  0;    0;  -0,2;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
64040;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    0;   0,0;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
65072;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    0;  +0,1;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
66104;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    1;  +0,3;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
67133;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   10;  0;    1;  +0,2;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
68163;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0;   1;   10;  0;    1;   0,0;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
69194;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    3;   0,0; 334;   10;  0;    1;  -0,1;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
70225;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    3;   0,0; 334;   10;  0;    1;  -0,1;N 46:46.3676;E 13:49.8952;  -1;   0;   0;
71256;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   12;  3;    1;   0,0;N 46:46.3682;E 13:49.8969;  -1;   0;   0;
72287;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;    9; 10;    1;  +0,1;N 46:46.3671;E 13:49.8947;  -1;   0;   0;
73317;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0;   1;    9; 14;    1;  -0,3;N 46:46.3656;E 13:49.8919;  -1;   0;   0;
74347;21,6;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    25;    2;   0,0; 334;   17; 25;    0;  -0,9;N 46:46.3629;E 13:49.8859;  -1;   0;   0;
